depth,trial,elapsed_sec,rss_mb,rss_delta_mb,cpu_percent
1,1,0.011,96.08,0.02,0.0
1,2,0.009,96.08,0.0,165.5
1,3,0.01,96.08,0.0,162.1
2,1,0.038,96.11,0.02,40.5
2,2,0.032,96.11,0.0,0.0
2,3,0.032,96.11,0.0,98.0
3,1,0.255,96.14,0.04,49.1
3,2,0.237,96.14,0.0,59.2
3,3,0.234,96.14,0.0,40.0
4,1,0.648,96.18,0.04,60.3
4,2,0.651,96.18,0.0,48.0
4,3,0.644,96.18,0.0,63.0
5,1,1.065,96.24,0.06,58.7
5,2,1.051,96.24,0.0,59.5
5,3,1.075,96.24,0.0,56.7
6,1,5.002,96.55,0.31,56.5
6,2,5.002,96.57,0.02,60.0
6,3,5.002,96.57,0.0,46.9
7,1,5.002,96.63,0.06,58.4
7,2,5.002,96.66,0.02,57.2
7,3,5.002,96.66,0.0,45.6
8,1,5.002,96.66,0.0,54.0
8,2,5.002,96.66,0.0,50.0
8,3,5.001,96.66,0.0,50.3
9,1,5.002,96.6,-0.06,54.0
9,2,5.002,96.6,0.0,54.0
9,3,5.002,96.6,0.0,50.9
10,1,5.002,96.6,0.0,52.8
10,2,5.002,96.6,0.0,51.5
10,3,5.002,96.6,0.0,53.4
