t_sec,proc_cpu_percent,proc_rss_mb,sys_cpu_percent,sys_mem_percent,gpu_util_avg,gpu_mem_used_mib
0.0,0.0,60.266,0.0,58.1,,
0.2,0.0,60.266,1.3,58.1,,
0.401,0.0,60.266,5.2,58.1,,
0.602,0.0,60.266,1.9,58.1,,
0.803,0.0,60.266,1.3,58.1,,
1.003,7.8,60.266,4.5,58.2,,
1.204,0.0,60.266,0.6,58.2,,
1.405,0.0,60.266,0.0,58.2,,
1.605,0.0,60.27,2.5,58.1,,
1.805,0.0,60.27,0.6,58.1,,
2.006,0.0,60.27,7.3,58.1,,
2.206,0.0,60.27,0.6,58.1,,
2.407,0.0,60.27,1.3,58.1,,
2.607,0.0,60.27,4.4,58.1,,
2.808,0.0,60.27,3.4,58.1,,
3.009,0.0,60.27,8.8,58.1,,
3.209,0.0,60.27,27.6,58.2,,
3.41,0.0,60.27,29.5,58.3,,
3.611,0.0,60.27,5.2,58.3,,
3.811,0.0,60.27,5.1,58.2,,
4.012,0.0,60.27,4.0,58.2,,
4.212,0.0,60.27,6.7,58.1,,
4.412,0.0,60.27,18.5,58.0,,
4.613,7.8,60.27,22.5,57.9,,
4.813,0.0,60.27,14.7,57.9,,
5.014,0.0,60.27,15.0,57.9,,
5.214,0.0,60.27,12.8,57.9,,
5.414,0.0,60.27,16.5,57.9,,
5.615,0.0,60.273,3.3,57.9,,
5.815,0.0,60.273,0.0,57.8,,
6.015,0.0,60.273,3.9,57.8,,
6.216,0.0,60.273,5.8,57.8,,
6.417,0.0,60.273,3.9,57.8,,
6.618,0.0,60.277,5.3,57.8,,
6.818,7.8,60.277,2.6,57.8,,
7.019,0.0,60.277,2.6,57.8,,
7.22,0.0,60.277,5.8,57.8,,
7.42,0.0,60.277,6.4,57.8,,
7.621,0.0,60.277,3.8,57.8,,
7.822,0.0,60.277,6.0,57.8,,
8.022,0.0,60.277,2.6,57.8,,
8.222,7.8,60.277,7.0,57.8,,
8.423,0.0,60.277,6.6,57.8,,
8.623,0.0,60.277,3.3,57.8,,
8.823,0.0,60.277,5.6,57.8,,
9.024,0.0,60.277,4.7,57.8,,
9.224,0.0,60.277,3.9,57.7,,
9.425,0.0,60.281,1.3,57.7,,
9.626,0.0,60.281,0.7,57.7,,
9.826,0.0,60.281,0.6,57.6,,
10.027,0.0,60.281,4.5,57.6,,
10.228,0.0,60.281,2.3,57.6,,
10.428,0.0,60.281,4.5,57.6,,
10.629,0.0,60.281,9.1,57.6,,
10.829,0.0,60.281,0.9,57.6,,
11.03,0.0,60.281,7.5,57.6,,
11.23,0.0,60.281,2.0,57.6,,
11.431,0.0,60.281,2.2,57.6,,
11.631,0.0,60.281,0.7,57.6,,
11.832,7.8,60.285,4.5,57.6,,
12.032,0.0,60.285,3.9,57.6,,
12.233,0.0,60.285,3.8,57.6,,
12.434,0.0,60.285,4.7,57.6,,
12.634,0.0,60.285,6.5,57.6,,
12.835,0.0,60.285,7.1,57.6,,
13.035,7.8,60.285,5.8,57.6,,
13.236,0.0,60.285,8.2,57.6,,
13.437,0.0,60.289,4.2,57.5,,
13.637,0.0,60.289,10.8,57.5,,
13.838,0.0,60.289,0.6,57.5,,
14.038,0.0,60.289,3.8,57.5,,
14.238,0.0,60.289,3.3,57.5,,
14.439,0.0,60.289,1.9,57.5,,
14.639,0.0,60.289,5.0,57.5,,
14.84,0.0,60.289,4.0,57.5,,
15.04,0.0,60.293,0.6,57.5,,
15.241,0.0,60.293,2.6,57.5,,
15.441,7.8,60.293,12.7,57.6,,
15.642,0.0,60.293,8.5,57.6,,
15.842,0.0,60.293,7.0,57.6,,
16.043,0.0,60.293,9.1,57.6,,
16.244,0.0,60.293,0.6,57.6,,
16.444,0.0,60.293,2.0,57.6,,
16.645,0.0,60.293,4.5,57.6,,
16.845,0.0,60.297,3.9,57.6,,
17.045,0.0,60.297,1.3,57.6,,
17.246,0.0,60.301,7.0,57.6,,
17.446,0.0,60.301,1.9,57.6,,
17.646,0.0,60.301,2.7,57.6,,
17.847,0.0,60.301,7.1,57.6,,
18.047,0.0,60.301,0.6,57.6,,
18.248,0.0,60.301,1.9,57.6,,
18.449,0.0,60.301,6.9,57.6,,
18.649,0.0,60.301,4.5,57.6,,
18.85,0.0,60.301,0.0,57.6,,
19.051,7.8,60.301,4.5,57.6,,
19.251,0.0,60.301,1.9,57.6,,
19.452,0.0,60.301,0.6,57.6,,
19.653,0.0,60.301,1.3,57.6,,
19.853,0.0,60.301,1.9,57.6,,
